"";"ApplicationNumber";"Mark";"MarkCurrentStatusCode";"ApplicationDate";"ExpiryDate";"DEPOSANT";"DEPOTIT";"MarkFeature";"url";"search";"FranceX";"depo";"titulaire"
"174";"3442197";"montpellier ea – france";"Marque expirée";20060712;20160712;"groupe sup de co – cci de montpellier etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3442197";"France;EtablissementPublic";"X France";"groupe sup de co – cci de montpellier etablissement public NA";"Etablissement public"
"175";"3442198";"montpellier bs – france";"Marque expirée";20060712;20160712;"groupe sup de co – cci de montpellier etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3442198";"France;EtablissementPublic";"X France";"groupe sup de co – cci de montpellier etablissement public NA";"Etablissement public"
"176";"3442203";"montpellier business school – france";"Marque expirée";20060712;20160712;"groupe sup de co – cci de montpellier etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3442203";"France;EtablissementPublic";"X France";"groupe sup de co – cci de montpellier etablissement public NA";"Etablissement public"
"177";"3442194";"montpellier ecole des affaires – france";"Marque expirée";20060712;20160712;"groupe sup de co – cci de montpellier etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3442194";"France;EtablissementPublic";"X France";"groupe sup de co – cci de montpellier etablissement public NA";"Etablissement public"
"178";"3429298";"agence iter france";"Marque renouvelée";20060517;20260517;"commissariat a l&apos;energie atomique et aux energies alternatives, etablissement public à caractère industriel et commercial";"commissariat a l energie atomique et aux energies alternatives";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3429298";"France;EtablissementPublic";"X France";"commissariat a l&apos;energie atomique et aux energies alternatives, etablissement public à caractère industriel et commercial commissariat a l energie atomique et aux energies alternatives";"EPIC"
"179";"3425672";"salon “ terroirs et saveurs de france ”";"Marque expirée";20060424;20160424;"chambre de commerce et d&apos;industrie d&apos;arras etablissement public administratif";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3425672";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie d&apos;arras etablissement public administratif NA";"EPA"
"180";"3423435";"chaleurs estivales en france";"Marque expirée";20060414;20160414;"institut géographique national etablissement public de l&apos;etat à caractère administratif";"institut national de l information geographique et forestiere";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3423435";"France;EtablissementPublic";"[de|en|la] France";"institut géographique national etablissement public de l&apos;etat à caractère administratif institut national de l information geographique et forestiere";"EPA"
"181";"3422733";"france";"Marque expirée";20060411;20160411;"office national interprofessionnel des fruits, des légumes, des vins et de l&apos;horticulture établissement public à caractère industriel et commercial";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3422733";"France;EtablissementPublic";"X France";"office national interprofessionnel des fruits, des légumes, des vins et de l&apos;horticulture établissement public à caractère industriel et commercial NA";"EPIC"
"182";"3389705";"stat-france";"Marque expirée";20051026;20151026;"etat français représenté par : institut national de la statistique et des études économiques (insee – direction du ministère de l&apos;économie des finances et de l&apos;industrie)";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3389705";"France;EtatFrançais";"X France";"etat français représenté par : institut national de la statistique et des études économiques (insee – direction du ministère de l&apos;économie des finances et de l&apos;industrie) NA";"Etat Français"
"183";"3389706";"statistique-publique-france";"Marque renouvelée";20051026;20251026;"etat français, représenté par le ministre de l&apos;économie et des finances, etat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3389706";"France;EtatFrançais";"X France";"etat français, représenté par le ministre de l&apos;économie et des finances, etat NA";"Etat Français"
